Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25955,The Medium is the Massage,Marshall McLuhan,"McLuhan, Marshall","Quentin Fiore, Shepard Fairey","=""1584230703""","=""9781584230700""",0,3.97,Gingko Press,Paperback,160,2001,1967,,2025/05/04,to-read,to-read (#63),to-read,,,,0,0
25942786,The Mind Illuminated: A Complete Meditation Guide Integrating Buddhist Wisdom and Brain Science,Culadasa (John Charles Yates),"Yates), Culadasa (John Charles","John Charles Yates, Matthew Immergut, Jeremy Graves","=""0990847705""","=""9780990847700""",0,4.26,Dharma Treasure Press,Paperback,504,2015,2015,,2025/05/03,to-read,to-read (#62),to-read,,,,0,0
63946826,"Time's Echo: The Second World War, the Holocaust, and the Music of Remembrance",Jeremy Eichler,"Eichler, Jeremy",,"=""0525521712""","=""9780525521716""",0,4.52,Knopf,Hardcover,400,2023,2023,,2025/05/03,to-read,to-read (#61),to-read,,,,0,0
38154,Orlando Furioso,Ludovico Ariosto,"Ariosto, Ludovico","William Rose, Guido Waldman","=""0192836773""","=""9780192836779""",0,4.04,Oxford University Press,Paperback,630,1999,1516,,2025/05/03,to-read,to-read (#60),to-read,,,,0,0
214986234,The Expert of Subtle Revisions,Kirsten Menger-Anderson,"Menger-Anderson, Kirsten",,"=""0593798309""","=""9780593798300""",0,3.97,Crown,Hardcover,256,2025,2025,,2025/04/30,to-read,to-read (#59),to-read,,,,0,0
10663151,Acting: Onstage and Off,Robert Barton,"Barton, Robert",,"=""0495898864""","=""9780495898863""",0,3.57,Wadsworth Publishing,Paperback,416,2011,1989,,2025/04/28,"to-read, owned-unread","to-read (#58), owned-unread (#10)",to-read,,,,0,0
23168277,"The Sympathizer (The Sympathizer, #1)",Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""0802123457""","=""9780802123459""",0,4.01,Grove Press,Hardcover,371,2015,2015,,2025/04/19,to-read,to-read (#57),to-read,,,,0,0
298275,Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul","Lloyd Alexander, Hayden Carruth","=""0811201880""","=""9780811201889""",0,3.94,New Directions,Hardcover,178,1969,1938,,2025/04/16,to-read,to-read (#56),to-read,,,,0,0
31562164,Fargo,Bavitz,"Bavitz, Bavitz",,"=""""","=""""",0,3.86,,Unknown Binding,,,,,2025/04/15,to-read,to-read (#55),to-read,,,,0,0
95558,Solaris,Stanisław Lem,"Lem, Stanisław","Steve Cox, Joanna Kilmartin","=""""","=""""",0,3.99,Harcourt,Paperback,204,2002,1961,,2025/04/15,to-read,to-read (#54),to-read,,,,0,0
